,sentiment
470,0.0
471,0.0
472,0.7579
473,0.0
474,0.0
475,0.0
476,0.5859
477,-0.1027
478,0.0
479,0.0
480,0.0
481,0.2023
482,0.0
483,0.0
484,0.0
485,-0.1027
486,0.7269
487,0.0
488,-0.5859
489,0.4767
490,0.0
491,0.5386
492,0.0
493,-0.6705
494,0.0
495,0.0
496,0.2144
497,0.4019
498,0.0
499,-0.6808
500,0.0
501,0.7351
502,0.3624
503,-0.296
504,0.0
505,0.0
506,0.0
507,-0.4939
508,0.0516
509,-0.8038
510,0.1027
511,0.0
512,0.0
513,0.34
514,0.0
515,-0.5994
516,-0.9118
517,0.0516
518,0.4767
519,0.5574
520,0.7579
521,-0.9292
522,0.0
523,-0.1027
524,0.0
525,0.0
526,-0.4215
527,-0.5994
528,-0.8625
529,-0.4019
530,-0.7096
531,-0.5859
532,0.0
533,0.0
534,0.0
535,0.0
536,0.3182
537,-0.8625
538,0.4767
539,0.0
540,-0.5994
541,-0.296
542,0.0
543,0.6597
544,0.6124
545,-0.0772
546,-0.4215
547,0.4215
548,0.4767
549,0.0
550,-0.6249
551,0.0
552,-0.34
553,0.0
554,0.2023
555,0.0
556,0.6808
557,0.0
558,0.0
559,0.0
560,0.802
561,0.0
562,-0.296
563,-0.5267
564,0.0
565,0.0
566,0.2732
567,-0.296
568,0.4601
569,-0.3182
570,0.0
571,0.0
572,-0.2183
573,0.0
574,0.0
575,0.0
576,-0.6739
577,0.5473
578,0.5719
579,0.0
580,-0.2732
581,0.0772
582,-0.3802
583,0.0
584,0.0
585,0.5526
586,-0.8074
587,0.0
588,-0.5267
589,-0.8625
590,0.0
591,0.0
592,0.0
593,0.4019
594,-0.4215
595,-0.296
596,0.0
597,0.1027
598,0.0
599,0.2151
600,-0.296
601,0.869
602,0.7579
603,0.34
604,0.0
605,-0.296
606,0.0
607,0.0
608,0.2023
609,0.0
610,0.0
611,-0.128
612,0.0
613,0.0
614,0.0
615,0.5766
616,0.2732
617,0.5267
618,0.0
619,0.296
620,0.8591
621,0.0
622,0.0
623,-0.5423
624,0.0
625,0.0
626,0.4767
627,0.0
628,0.0
629,0.0
630,0.0
631,0.6369
632,0.0
633,0.4767
634,0.0516
635,0.0
636,0.0
637,0.1779
638,0.0
639,0.0
640,-0.6486
641,0.34
642,0.0
643,0.0
644,0.0
645,0.4767
646,0.4404
647,0.4767
648,0.0
649,0.0
650,-0.765
651,0.3818
652,-0.8442
653,0.0
654,-0.7896
655,0.0772
656,0.0
657,0.0
658,0.0
659,0.0
660,0.3182
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,-0.6486
668,-0.8625
669,0.1761
670,-0.1027
671,-0.296
672,-0.4767
673,0.0
674,-0.5499
675,0.0
676,0.4767
677,0.3182
678,0.0
679,-0.3182
680,0.0
681,0.0186
682,-0.6124
683,0.0
684,0.296
685,0.6124
686,0.5574
687,0.0
688,0.0
689,-0.8316
690,-0.5267
691,0.0
692,-0.296
693,0.0
694,-0.4404
695,0.1531
696,0.0
697,0.802
698,0.0
699,0.0
700,-0.5574
701,0.0
702,-0.5106
703,0.0
704,0.0772
705,-0.6523
706,-0.128
707,0.0
708,0.0
709,0.0
710,0.0
711,0.481
712,-0.5994
713,-0.6486
714,0.0
715,0.0
716,-0.7906
717,0.0
718,0.4019
719,0.0
720,0.4767
721,0.0
722,0.0
723,-0.5859
724,0.6486
725,0.0
726,0.0
727,0.0
728,0.4939
729,-0.836
730,0.0
731,0.0
732,-0.6369
733,0.4767
734,0.0
735,0.0
736,0.5423
737,0.0
738,-0.0572
739,-0.5719
740,0.4767
741,-0.5423
742,-0.4374
743,-0.7184
744,0.264
745,-0.5719
746,0.0
747,0.0
748,-0.4215
749,0.0
750,0.0
751,0.0
752,-0.1531
753,-0.5023
754,-0.296
755,-0.6955
756,0.802
757,-0.5574
758,0.1531
759,0.0
760,0.0
761,-0.34
762,-0.4215
763,-0.4019
764,0.5255
765,0.0
766,-0.6908
767,-0.34
768,0.0
769,-0.0397
770,-0.34
771,-0.296
772,-0.7003
773,0.0
774,-0.25
775,0.0
776,-0.4374
777,-0.703
778,0.0
779,0.3182
780,0.0
781,0.4404
782,0.0
783,0.3595
784,-0.4323
785,-0.8625
786,0.0
787,0.4854
788,0.0
789,0.0
790,0.6258
791,-0.5574
792,0.3182
793,0.0
794,0.0
795,0.4767
796,-0.3412
797,0.0
798,0.4767
799,0.743
800,-0.188
801,0.0
802,-0.7783
803,0.0772
804,-0.296
805,-0.296
806,0.4767
807,0.4588
808,0.0
809,-0.3818
810,0.0
811,0.5859
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0772
817,0.0
818,-0.34
819,0.0
820,0.0
821,-0.3182
822,0.0
823,0.0
824,0.0
825,0.6808
826,0.0
827,0.0
828,-0.5574
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.802
836,0.0
837,0.0
838,0.0
839,-0.5574
840,0.0
841,0.1779
842,0.0
843,-0.5574
844,0.0
845,-0.6229
846,0.0
847,-0.1154
848,0.4767
849,-0.7777
850,0.0
851,0.4767
852,0.0
853,0.0
854,0.0
855,0.2023
856,-0.5574
857,0.4767
858,0.4767
859,0.1531
860,0.0
861,0.0
862,0.0258
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,-0.3818
870,0.5994
871,0.5473
872,-0.5859
873,-0.2263
874,0.0701
875,0.802
876,-0.1027
877,0.0
878,0.4767
879,-0.5983
880,0.0
881,0.0
882,0.6486
883,-0.296
884,-0.296
885,-0.1779
886,0.7506
887,-0.7065
888,0.25
889,0.0
890,0.3626
891,0.0
892,0.0
893,0.0
894,0.4767
895,0.0
896,0.0
897,0.0
898,0.7177
899,0.3626
900,0.0
901,0.0
902,-0.7443
903,0.0
904,-0.4215
905,-0.296
906,0.7761
907,0.5994
908,0.6808
909,-0.7269
910,-0.6808
911,0.0
912,0.0
913,-0.6486
914,0.0
915,-0.34
916,0.0
917,-0.296
918,0.5719
919,-0.69
920,-0.128
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.4767
928,0.6124
929,-0.296
930,0.0
931,0.0
932,0.4767
933,-0.5983
934,0.0
935,0.3626
936,-0.5267
937,0.0
938,0.0
939,-0.8625
940,0.802
941,0.0
942,-0.2342
943,-0.2342
944,0.0
945,0.34
946,0.0
947,0.4767
948,0.0
949,0.0
950,0.6576
951,0.0
952,-0.4767
953,0.0
954,-0.6249
955,-0.8248
956,0.0
957,0.3453
958,0.0
959,0.6833
960,-0.4215
961,0.0
962,0.3182
963,0.0
964,0.0
965,0.0
966,0.0
967,-0.8625
968,0.0
969,0.0
970,0.6486
971,0.0
972,0.0
973,-0.6808
974,0.25
975,-0.5106
976,-0.1695
977,0.0
978,-0.6523
979,-0.3182
980,0.0
981,0.25
982,0.6249
983,0.0
984,-0.296
985,0.0
986,-0.3612
987,-0.7989
988,0.0
989,0.5635
990,0.0
991,-0.0516
992,0.0
993,0.0
994,-0.5574
995,0.0
996,0.8155
997,0.0
998,0.8271
999,0.0
1000,0.4767
1001,-0.5574
1002,0.0
1003,0.0
1004,-0.3818
1005,0.0
1006,0.2732
1007,-0.7777
1008,0.0772
1009,0.4019
1010,0.0
1011,0.0
1012,0.4767
1013,0.316
1014,0.0
1015,0.0
1016,0.0
1017,-0.8176
1018,-0.7506
1019,0.4939
1020,0.0
1021,-0.4019
1022,0.0
1023,0.0
1024,-0.4466
1025,0.0
1026,-0.8481
1027,-0.8625
1028,0.0
1029,0.4466
1030,-0.6249
1031,0.1531
1032,-0.1027
1033,0.0
1034,0.0
1035,-0.6597
1036,0.872
1037,0.0
1038,-0.5994
1039,-0.2732
1040,0.4767
1041,0.0
1042,0.0
1043,0.0
1044,-0.7964
1045,-0.0772
1046,0.5255
1047,0.0
1048,0.4767
1049,-0.4497
1050,0.0
1051,0.0
1052,0.3612
1053,-0.4767
1054,0.34
1055,-0.3182
1056,0.0422
1057,0.4767
1058,0.0
1059,-0.3612
1060,0.34
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.5859
1067,0.1027
1068,0.0
1069,0.0
1070,0.7579
1071,0.0
1072,0.0772
1073,0.0
1074,-0.8625
1075,0.0
1076,0.0
1077,-0.6486
1078,0.0
1079,0.0
1080,0.0
1081,-0.1068
1082,-0.6808
1083,0.0
1084,0.3612
1085,-0.1027
1086,0.0
1087,0.4767
1088,-0.3131
1089,0.3612
1090,0.0
1091,0.0
1092,0.0
1093,-0.296
1094,0.0
1095,0.0
1096,0.0258
1097,-0.7351
1098,0.2716
1099,0.0
1100,0.8226
1101,0.0
1102,0.0
1103,0.0
1104,0.4215
1105,0.2023
1106,0.0
1107,0.0
1108,0.0
1109,0.5719
1110,0.0
1111,0.0
1112,-0.296
1113,0.5859
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.4767
1121,0.4404
1122,0.7579
1123,0.0
1124,-0.1027
1125,0.0
1126,0.5574
1127,-0.5983
1128,-0.25
1129,-0.8625
1130,0.0
1131,-0.9325
1132,0.0
1133,0.0
1134,-0.7506
1135,0.4767
1136,0.0
1137,0.802
1138,0.0
1139,-0.25
1140,0.0516
1141,0.1695
1142,0.0
1143,0.0
1144,0.8479
1145,-0.3612
1146,0.0772
1147,0.0
1148,-0.5994
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,-0.2263
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,-0.5434
1161,0.0516
1162,0.0
1163,0.5106
1164,0.0
1165,0.802
1166,0.0
1167,0.0
1168,-0.6249
1169,0.0516
1170,-0.1027
1171,-0.4404
1172,0.0
1173,0.0
1174,-0.6486
1175,0.6229
1176,0.0
1177,0.0
1178,0.0
1179,0.4404
1180,0.0
1181,-0.5859
1182,0.0
1183,0.0
1184,0.5423
1185,0.3612
1186,-0.5719
1187,0.0
1188,0.7096
1189,-0.9626
1190,0.0
1191,0.34
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,-0.5859
1197,0.0
1198,-0.2263
1199,-0.5994
1200,-0.5994
1201,0.0
1202,-0.2516
1203,-0.8625
1204,0.0
1205,0.34
1206,0.0
1207,0.0
1208,0.4767
1209,0.2023
1210,-0.296
1211,0.8126
1212,0.0717
1213,-0.743
1214,0.0
1215,-0.5267
1216,-0.6597
1217,0.0
1218,0.0
1219,0.0
1220,0.0516
1221,0.0
1222,0.0
1223,-0.1027
1224,0.802
1225,0.4767
1226,0.0
1227,0.5719
1228,0.4767
1229,0.0
1230,-0.4019
1231,0.0
1232,0.0
1233,0.0
1234,0.577
1235,-0.2732
1236,0.0
1237,0.2263
1238,0.1027
1239,0.2023
1240,0.0
1241,-0.1027
1242,0.0
1243,-0.5719
1244,0.6351
1245,-0.5719
1246,0.0
1247,0.0
1248,0.0
1249,-0.5423
1250,0.9022
1251,-0.6249
1252,0.0
1253,0.0
1254,0.0
1255,0.6124
1256,0.0
1257,-0.2263
1258,-0.8625
1259,-0.5719
1260,-0.8625
1261,0.0
1262,-0.296
1263,0.0
1264,-0.4391
1265,0.0
1266,0.0
1267,-0.4767
1268,0.836
1269,0.0
1270,-0.5795
1271,0.0
1272,-0.6597
1273,-0.743
1274,0.0
1275,0.5096
1276,-0.5093
1277,0.0
1278,0.4939
1279,0.0
1280,0.0
1281,-0.5023
1282,0.0
1283,0.0
1284,0.4137
1285,0.0
1286,0.8074
1287,-0.1154
1288,0.0
1289,0.0
1290,-0.6848
1291,0.0
1292,0.0
1293,0.1531
1294,0.0
1295,-0.296
1296,0.0
1297,0.5106
1298,0.4019
1299,0.5849
1300,-0.807
1301,0.0
1302,0.0772
1303,0.0
1304,0.0
1305,0.0
1306,0.8221
1307,0.4767
1308,0.0
1309,0.0
1310,-0.8442
1311,-0.836
1312,-0.1027
1313,0.2263
1314,0.0
1315,0.0
1316,-0.6486
1317,0.0
1318,-0.4215
1319,0.4767
1320,0.0
1321,0.6486
1322,0.128
1323,0.3384
1324,0.0
1325,-0.4767
1326,-0.4019
1327,-0.4404
1328,-0.2732
1329,0.34
1330,0.2023
1331,0.1511
1332,0.5994
1333,0.0
1334,0.4767
1335,-0.4019
1336,0.0
1337,0.7845
1338,0.0
1339,-0.128
1340,-0.2342
1341,0.4767
1342,0.128
1343,0.0129
1344,0.0
1345,-0.1513
1346,0.4767
1347,0.3612
1348,0.0
1349,-0.7777
1350,0.3182
1351,-0.7263
1352,0.1779
1353,0.0
1354,0.0
1355,0.4215
1356,-0.4466
1357,-0.5859
1358,-0.5719
1359,0.0516
1360,0.0
1361,0.0
1362,0.4767
1363,-0.296
1364,0.4767
1365,0.0
1366,0.7845
1367,0.0
1368,0.0072
1369,-0.4404
1370,-0.875
1371,0.0
1372,0.0
1373,0.0
1374,-0.836
1375,0.4767
1376,-0.5719
1377,0.0
1378,0.0
1379,0.4019
1380,-0.296
1381,-0.5719
1382,0.0
1383,-0.4019
1384,0.0772
1385,-0.5859
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,-0.4939
1391,0.4019
1392,0.0
1393,-0.7906
1394,-0.4019
1395,0.0
1396,0.1416
1397,0.0
1398,0.0
1399,0.8402
1400,-0.6956
1401,-0.4019
1402,-0.5859
1403,-0.5267
1404,-0.4588
1405,-0.4767
1406,0.0
1407,-0.34
1408,0.0
1409,0.0
1410,-0.836
1411,0.0
1412,0.2714
1413,0.5719
1414,0.4404
1415,0.4767
1416,0.2263
1417,0.0
1418,-0.0516
1419,0.7845
1420,0.4767
1421,0.0
1422,0.0
1423,0.0
1424,-0.4404
1425,0.2023
1426,0.9128
1427,-0.3818
1428,-0.1027
1429,-0.0516
1430,-0.34
1431,0.0516
1432,-0.7506
1433,0.0
1434,0.0
1435,-0.7777
1436,-0.4767
1437,0.0772
1438,-0.8625
1439,-0.6597
1440,0.0
1441,0.296
1442,0.2023
1443,0.0
1444,0.2023
1445,0.2716
1446,0.0
1447,-0.296
1448,0.0
1449,-0.5423
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.802
1455,0.8885
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,-0.1759
1462,0.0
1463,0.4767
1464,0.0
1465,0.0
1466,0.4767
1467,0.0
1468,0.802
1469,-0.7964
1470,0.0
1471,-0.6249
1472,-0.3818
1473,0.0
1474,-0.4767
1475,0.7845
1476,0.0
1477,0.0
1478,0.4767
1479,0.3182
1480,0.802
1481,0.0
1482,0.0772
1483,0.4898
1484,0.0
1485,-0.6908
1486,-0.6486
1487,0.0
1488,-0.7772
1489,0.0
1490,0.0
1491,0.0
1492,0.5597
1493,-0.6523
1494,-0.5719
1495,0.0
1496,0.0
1497,-0.5859
1498,0.0
1499,0.0
1500,-0.6523
1501,0.0
1502,-0.7269
1503,-0.802
1504,0.0258
1505,0.0
1506,0.0
1507,0.8074
1508,-0.296
1509,0.0
1510,0.0
1511,-0.5719
1512,0.3612
1513,0.0
1514,-0.8885
1515,0.745
1516,0.4767
1517,0.0
1518,-0.5965
1519,0.4404
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,-0.3771
1527,0.4767
1528,0.0
1529,0.0
1530,0.4939
1531,0.3612
1532,0.3182
1533,0.0
1534,0.4404
1535,0.0
1536,-0.5719
1537,-0.5994
1538,0.0
1539,0.0
1540,0.0
1541,0.4939
1542,0.8268
1543,0.3182
1544,-0.25
1545,-0.2481
1546,0.0
1547,0.34
1548,0.0
1549,0.296
1550,-0.2263
1551,-0.5983
1552,0.0
1553,0.0
1554,-0.8625
1555,0.0
1556,0.4137
1557,-0.4939
1558,0.0516
1559,0.0
1560,-0.5859
1561,0.0
1562,0.0
1563,0.0
1564,0.3147
1565,0.0
1566,0.8275
1567,0.0
1568,0.0
1569,-0.6972
1570,-0.1027
1571,0.0
1572,0.0
1573,0.0
1574,0.4215
1575,0.0
1576,0.0
1577,0.4215
1578,0.4576
1579,0.9168
1580,0.0
1581,-0.4215
1582,-0.3313
1583,-0.3252
1584,0.34
1585,0.4738
1586,0.0
1587,-0.5574
1588,0.0
1589,0.0772
1590,0.0772
1591,0.0
1592,0.4404
1593,0.0
1594,0.4215
1595,0.0
1596,0.5574
1597,-0.4215
1598,-0.7964
1599,0.0
1600,0.0516
1601,0.0
1602,0.0
1603,-0.8625
1604,0.1027
1605,0.0
1606,-0.5719
1607,0.4767
1608,0.2617
1609,0.1027
1610,-0.8625
1611,-0.2805
1612,-0.25
1613,0.25
1614,0.0
1615,-0.6486
1616,0.2732
1617,0.0
1618,0.0
1619,0.0
1620,-0.0258
1621,0.0
1622,0.0
1623,0.0
1624,0.2244
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.4754
1630,0.0
1631,-0.8074
1632,-0.3182
1633,0.0
1634,0.0772
1635,-0.0516
1636,0.6486
1637,0.0
1638,0.1476
1639,0.0
1640,0.0
1641,0.4199
1642,-0.1027
1643,-0.6597
1644,0.4019
1645,-0.6523
1646,0.0
1647,0.7003
1648,0.0
1649,0.7324
1650,-0.8074
1651,-0.4019
1652,0.0516
1653,0.0
1654,0.1531
1655,0.1779
1656,-0.6597
1657,0.0
1658,0.0
1659,-0.4767
1660,0.0
1661,0.3182
1662,-0.3612
1663,0.0
1664,-0.5795
1665,0.4767
1666,-0.6249
1667,0.0
1668,0.0
1669,0.25
1670,0.7227
1671,-0.6486
1672,0.0
1673,-0.25
1674,-0.8625
1675,0.2732
1676,-0.6597
1677,0.0
1678,0.0
1679,-0.8365
1680,0.0
1681,-0.8025
1682,-0.2692
1683,0.0
1684,0.0
1685,0.0
1686,0.2732
1687,0.6249
1688,-0.0772
1689,0.4767
1690,0.4767
1691,0.0516
1692,-0.296
1693,0.0023
1694,0.0
1695,-0.6369
1696,0.0
1697,-0.296
1698,0.0
1699,0.0
1700,-0.296
1701,0.0
1702,0.0
1703,-0.4019
1704,0.3724
1705,0.0
1706,0.2263
1707,-0.2023
1708,0.4767
1709,0.4767
1710,0.25
1711,0.0
1712,0.0
1713,0.0
1714,-0.1779
1715,-0.296
1716,0.0
1717,-0.6597
1718,0.0
1719,0.0
1720,0.3811
1721,0.4767
1722,0.0
1723,0.0
1724,-0.1027
1725,0.0
1726,-0.296
1727,0.0516
1728,0.0
1729,0.0
1730,0.504
1731,0.0
1732,0.0
1733,0.5423
1734,-0.25
1735,0.0
1736,-0.4019
1737,0.0
1738,-0.296
1739,0.0
1740,-0.296
1741,-0.188
1742,-0.5859
1743,0.25
1744,0.1154
1745,0.1531
1746,0.0
1747,0.0
1748,0.5484
1749,-0.6801
1750,0.7845
1751,-0.296
1752,-0.4019
1753,-0.836
1754,0.0
1755,0.1779
1756,-0.0772
1757,0.9168
1758,0.0
1759,0.3182
1760,-0.5106
1761,0.0
1762,0.4767
1763,0.0
1764,0.0
1765,-0.4019
1766,0.0
1767,-0.4019
1768,0.0
1769,-0.4019
1770,0.0
1771,-0.5994
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,-0.7783
1777,0.0
1778,0.0
1779,0.0
1780,-0.296
1781,0.0258
1782,-0.34
1783,0.7579
1784,0.0
1785,0.8972
1786,-0.2516
1787,0.0
1788,-0.5106
1789,-0.4019
1790,-0.4019
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,-0.4019
1796,-0.5574
1797,0.0
1798,-0.4019
1799,0.0
1800,-0.5574
1801,-0.8625
1802,-0.4404
1803,-0.8478
1804,-0.2263
1805,0.0
1806,0.7579
1807,0.0
1808,-0.6705
1809,0.7579
1810,0.0
1811,-0.2023
1812,0.0
1813,0.4939
1814,-0.6597
1815,0.0
1816,0.5106
1817,-0.2732
1818,0.0
1819,-0.6259
1820,-0.5994
1821,0.3612
1822,-0.4404
1823,0.0
1824,-0.296
1825,0.0854
1826,-0.296
1827,0.0
1828,0.0
1829,-0.3818
1830,0.0
1831,-0.0516
1832,0.2023
1833,-0.5859
1834,0.0
1835,0.6597
1836,0.0
1837,0.0
1838,-0.4567
1839,-0.1132
1840,0.4019
1841,0.0
1842,0.2235
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,-0.1761
1850,0.2235
1851,0.3612
1852,0.3818
1853,0.0
1854,0.0
1855,0.802
1856,-0.2247
1857,0.4767
1858,0.4019
1859,0.0
1860,0.0
1861,0.0
1862,0.4215
1863,0.25
1864,0.0
1865,0.0
1866,0.3612
1867,0.6369
1868,0.0
1869,0.0
1870,-0.5106
1871,0.0
1872,0.0
1873,-0.5707
1874,0.3589
1875,0.0516
1876,-0.836
1877,0.0
1878,0.3182
1879,0.4767
1880,-0.5859
1881,0.0
1882,0.0
1883,0.0
1884,0.5983
1885,0.0
1886,-0.2846
1887,0.0
1888,0.0
1889,-0.296
1890,-0.1027
1891,-0.5574
1892,0.4767
1893,0.0
1894,0.7096
1895,0.0
1896,-0.34
1897,0.4767
1898,0.0186
1899,-0.1759
1900,0.0
1901,-0.4767
1902,0.0
1903,0.0
1904,0.0772
1905,0.0
1906,-0.2263
1907,0.0
1908,0.0
1909,-0.34
1910,-0.6486
1911,0.7579
1912,-0.128
1913,0.0
1914,0.0
1915,0.0
1916,0.4767
1917,0.0
1918,0.4215
1919,-0.7351
1920,-0.3182
1921,0.4767
1922,0.7579
1923,-0.0516
1924,0.0
1925,-0.4019
1926,0.0516
1927,-0.2748
