,Location,Latitude,Longitude,Metric
1036,America,37.09024,-95.712891,628
1037,India,22.3511148,78.6677428,66
1038,India,22.3511148,78.6677428,66
1039,America,37.09024,-95.712891,628
1040,Canada,61.0666922,-107.9917071,70
1041,America,37.09024,-95.712891,628
1042,India,22.3511148,78.6677428,66
1043,America,37.09024,-95.712891,628
1044,America,37.09024,-95.712891,628
1045,Georgia,32.3293809,-83.1137366,7
1046,America,37.09024,-95.712891,628
1047,America,37.09024,-95.712891,628
1048,America,37.09024,-95.712891,628
1049,America,37.09024,-95.712891,628
1050,England,52.5310214,-1.2649062,118
1051,Nigeria,9.6000359,7.9999721,37
1052,America,37.09024,-95.712891,628
1053,America,37.09024,-95.712891,628
1054,America,37.09024,-95.712891,628
1055,America,37.09024,-95.712891,628
1056,America,37.09024,-95.712891,628
1057,America,37.09024,-95.712891,628
1058,America,37.09024,-95.712891,628
1059,Brasil,-10.3333333,-53.2,32
1060,Brasil,-10.3333333,-53.2,32
1061,Germany,51.0834196,10.4234469,12
1062,Switzerland,46.7985624,8.2319736,2
1063,America,37.09024,-95.712891,628
1064,America,37.09024,-95.712891,628
1065,India,22.3511148,78.6677428,66
1066,Columbia,2.8894434,-73.783892,11
1067,America,37.09024,-95.712891,628
1068,United Kingdom,54.7023545,-3.2765753,62
1069,Nigeria,9.6000359,7.9999721,37
1070,America,37.09024,-95.712891,628
1071,France,46.603354,1.8883335,45
1072,France,46.603354,1.8883335,45
1073,Scotland,56.7861112,-4.1140518,24
1074,Spain,39.3262345,-4.8380649,6
1075,Romania,45.9852129,24.6859225,1
1076,America,37.09024,-95.712891,628
1077,Venezuela,8.0018709,-66.1109318,16
1078,India,22.3511148,78.6677428,66
1079,Sri Lanka ,7.5554942,80.7137847,1
1080,America,37.09024,-95.712891,628
1081,France,46.603354,1.8883335,45
1082,America,37.09024,-95.712891,628
1083,America,37.09024,-95.712891,628
1084,England,52.5310214,-1.2649062,118
1085,England,52.5310214,-1.2649062,118
1086,Canada,61.0666922,-107.9917071,70
1087,Brazil,-10.3333333,-53.2,6
1088,South Africa,-28.8166236,24.991639,3
1089,America,37.09024,-95.712891,628
1090,America,37.09024,-95.712891,628
1091,America,37.09024,-95.712891,628
1092,India,22.3511148,78.6677428,66
1093,India,22.3511148,78.6677428,66
1094,United Kingdom,54.7023545,-3.2765753,62
1095,America,37.09024,-95.712891,628
1096,Chile,-31.7613365,-71.3187697,7
1097,America,37.09024,-95.712891,628
1098,England,52.5310214,-1.2649062,118
1099,America,37.09024,-95.712891,628
1100,America,37.09024,-95.712891,628
1101,India,22.3511148,78.6677428,66
1102,America,37.09024,-95.712891,628
1103,America,37.09024,-95.712891,628
1104,America,37.09024,-95.712891,628
1105,India,22.3511148,78.6677428,66
1106,America,37.09024,-95.712891,628
1107,Nigeria,9.6000359,7.9999721,37
1108,America,37.09024,-95.712891,628
1109,Ecuador,-1.3397668,-79.3666965,4
1110,Thailand,14.8971921,100.83273,3
1111,America,37.09024,-95.712891,628
1112,America,37.09024,-95.712891,628
1113,Italy,42.6384261,12.674297,5
1114,America,37.09024,-95.712891,628
1115,Portugal,40.0332629,-7.8896263,6
1116,America,37.09024,-95.712891,628
1117,America,37.09024,-95.712891,628
1118,America,37.09024,-95.712891,628
1119,Scotland,56.7861112,-4.1140518,24
1120,America,37.09024,-95.712891,628
1121,America,37.09024,-95.712891,628
1122,Argentina,-34.9964963,-64.9672817,22
1123,Argentina,-34.9964963,-64.9672817,22
1124,America,37.09024,-95.712891,628
1125,America,37.09024,-95.712891,628
1126,America,37.09024,-95.712891,628
1127,Scotland,56.7861112,-4.1140518,24
1128,Scotland,56.7861112,-4.1140518,24
1129, Ireland ,52.865196,-7.9794599,1
1130,America,37.09024,-95.712891,628
1131,Ireland,52.865196,-7.9794599,7
1132,America,37.09024,-95.712891,628
1133,America,37.09024,-95.712891,628
1134,America,37.09024,-95.712891,628
1135,America,37.09024,-95.712891,628
1136,America,37.09024,-95.712891,628
1137,America,37.09024,-95.712891,628
1138,America,37.09024,-95.712891,628
1139,Nigeria,9.6000359,7.9999721,37
1140,America,37.09024,-95.712891,628
1141,Italy,42.6384261,12.674297,5
1142,America,37.09024,-95.712891,628
1143,America,37.09024,-95.712891,628
1144,America,37.09024,-95.712891,628
1145,America,37.09024,-95.712891,628
1146,America,37.09024,-95.712891,628
1147,America,37.09024,-95.712891,628
1148,United Kingdom,54.7023545,-3.2765753,62
1149,United Kingdom,54.7023545,-3.2765753,62
1150,America,37.09024,-95.712891,628
1151,India,22.3511148,78.6677428,66
1152,America,37.09024,-95.712891,628
1153,Australia,-24.7761086,134.755,4
1154,America,37.09024,-95.712891,628
1155,America,37.09024,-95.712891,628
1156,America,37.09024,-95.712891,628
1157,Nigeria,9.6000359,7.9999721,37
1158,America,37.09024,-95.712891,628
1159,England,52.5310214,-1.2649062,118
1160,America,37.09024,-95.712891,628
1161,America,37.09024,-95.712891,628
1162,India,22.3511148,78.6677428,66
1163,America,37.09024,-95.712891,628
1164,India,22.3511148,78.6677428,66
1165,England,52.5310214,-1.2649062,118
1166,America,37.09024,-95.712891,628
1167,America,37.09024,-95.712891,628
1168,America,37.09024,-95.712891,628
1169,America,37.09024,-95.712891,628
